ff_value,variant_or_note_match,category,item,unit,minutes,pricing_model,assumptions_or_instructions
"Install Light Fixture","flush mount",fixtures,"Install light fixture — flush mount",each,45,time,"Assume standard swap on existing box unless notes say otherwise."
"Install Light Fixture","chandelier",fixtures,"Install light fixture — chandelier",each,60,time,"Assume standard chandelier swap; if notes indicate complex/heavy/high-ceiling add time."
"Install Light Fixture","vanity light",fixtures,"Install light fixture — vanity light",each,60,time,"Assume vanity bar/fixture swap."
"Install Light Fixture","(none)",fixtures,"Install light fixture — generic",each,45,time,"If FastField loses context and only notes remain (e.g., 'vanity light, mirror, faucet'), use the standard times below."
"Install Mirror","(none)",fixtures,"Install mirror — standard",each,45,time,"Assume typical wall mirror install."
"Install Mirror","remove panel mirror",fixtures,"Install mirror — remove panel mirror",each,90,time,"Allowance includes demo/removal of glued panel mirror + install replacement."
"Install Ceiling Fan","(none)",fixtures,"Install ceiling fan — standard",each,60,time,"Assume basic replacement on existing box."
"Install Ceiling Fan","xx inch downrod",fixtures,"Install ceiling fan — downrod",each,90,time,"Use when notes call out downrod length."
"Install Ceiling Fan","high ceiling|sloped",fixtures,"Install ceiling fan — high/sloped ceiling",each,120,time,"Use when notes indicate high ceiling or sloped ceiling complications."
"(notes)","faucet",plumbing,"Install faucet",each,45,time,"Assume shutoff valves work. If shutoffs fail / are seized, may require plumber; flag in proposal language."
"(notes)","replace vanity top",plumbing,"Replace vanity top",each,120,time,"Allowance includes removal + install; plumbing reconnect may add time."
"Install Baseboard/casing/1/4 round","(none)",trim,"Baseboards/trim/casing work (see notes)",LF,,lf_pricing,"Do NOT use FastField 'measurements' fields as authoritative. Calculate LF from room measurements (perimeter) when baseboards are truly in scope. Often this FF value is a placeholder — treat notes as override."
"Install Knobs/Handles","(none)",hardware,"Knobs/handles (see notes)",each,,needs_context,"Often used as placeholder. Use notes for counts + scope; if no count, flag NEEDS CONFIRMATION."
"(notes)","door casing|window casing|jamb",trim,"Door/window casing/jamb repair (notes-driven)",opening,,needs_context,"If notes call out casing/jamb repair, override the generic FF baseboards/trim line item."
"(custom)","LVP plank",flooring,"Replace 1 LVP plank",each,45,time,"Use when notes indicate a single plank replacement."
"(custom)","handrail",repairs,"Handrail repair/paint (placeholder)",each,45,time,"Default placeholder (Luke) unless notes indicate more complexity."
